issuer_name,deal_short_name,as_of_date,metric_type,stat_type,stat_value
Octane,OCTL 2024-1,07/11/2025,60+DQ,min,0.0040338
Octane,OCTL 2024-1,07/11/2025,60+DQ,avg,0.0058358583333333325
Octane,OCTL 2024-1,07/11/2025,90+DQ,max,0.0032354
Octane,OCTL 2024-1,07/11/2025,90+DQ,min,0.0012867
Octane,OCTL 2024-1,07/11/2025,90+DQ,avg,0.00236695
Octane,OCTL 2024-1,07/11/2025,Extensions,max,0.007
Octane,OCTL 2024-1,07/11/2025,Extensions,min,0.0003
Octane,OCTL 2024-1,07/11/2025,Extensions,avg,0.004425
Octane,OCTL 2024-2,07/11/2025,30+DQ,max,0.0141844
Octane,OCTL 2024-2,07/11/2025,30+DQ,min,0.0018872
Octane,OCTL 2024-2,07/11/2025,30+DQ,avg,0.010540190909090908
Octane,OCTL 2024-2,07/11/2025,60+DQ,max,0.0059529
Octane,OCTL 2024-2,07/11/2025,60+DQ,min,0.0
Octane,OCTL 2024-2,07/11/2025,60+DQ,avg,0.004132672727272727
Octane,OCTL 2024-2,07/11/2025,90+DQ,max,0.0026716
Octane,OCTL 2024-2,07/11/2025,90+DQ,min,0.0
Octane,OCTL 2024-2,07/11/2025,90+DQ,avg,0.0016962636363636362
Octane,OCTL 2024-2,07/11/2025,Extensions,max,0.0073
Octane,OCTL 2024-2,07/11/2025,Extensions,min,0.0
Octane,OCTL 2024-2,07/11/2025,Extensions,avg,0.003
Octane,OCTL 2024-3,07/11/2025,30+DQ,max,0.0135839
Octane,OCTL 2024-3,07/11/2025,30+DQ,min,0.0061531
Octane,OCTL 2024-3,07/11/2025,30+DQ,avg,0.010655216666666667
Octane,OCTL 2024-3,07/11/2025,60+DQ,max,0.0057788
Octane,OCTL 2024-3,07/11/2025,60+DQ,min,0.0
Octane,OCTL 2024-3,07/11/2025,60+DQ,avg,0.0038070666666666663
Octane,OCTL 2024-3,07/11/2025,90+DQ,max,0.0027374
Octane,OCTL 2024-3,07/11/2025,90+DQ,min,0.0
Octane,OCTL 2024-3,07/11/2025,90+DQ,avg,0.0015065166666666666
Octane,OCTL 2024-3,07/11/2025,Extensions,max,0.0044
Octane,OCTL 2024-3,07/11/2025,Extensions,min,0.0004
Octane,OCTL 2024-3,07/11/2025,Extensions,avg,0.0020166666666666666
Carvana,CRVNA 2020-P1,07/11/2025,30+DQ,max,0.0686588
Carvana,CRVNA 2020-P1,07/11/2025,30+DQ,min,0.0491472
